@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}

@data
16,8,West,4,4,11,10,9,9,-11,0,0,1,1,0,-1,West
15,8,West,4,4,11,10,8,7,-12,1,0,1,1,0,-1,North
15,9,North,4,4,10,8,6,6,-13,1,1,0,0,0,-1,North
15,10,North,4,4,8,7,5,6,-14,1,1,0,0,0,-1,North
15,11,North,4,4,6,7,4,5,-15,0,1,0,1,0,-1,East
16,11,East,4,4,8,9,4,5,-16,0,0,1,1,0,-1,East
17,11,East,4,4,8,10,4,7,-17,0,0,1,1,0,-1,East
18,11,East,4,4,10,12,6,9,-18,0,0,1,1,0,-1,East
19,11,East,4,4,10,14,7,9,-19,1,0,1,1,0,-1,North
19,12,North,4,4,9,14,6,7,-20,1,1,0,0,0,-1,North
19,13,North,4,4,9,13,6,6,-21,1,1,1,0,0,-1,North
19,14,North,4,4,7,12,4,5,-22,1,1,0,0,0,-1,North
19,15,North,4,4,5,10,4,4,-23,1,1,0,1,0,-1,North
19,16,North,4,4,4,10,4,6,-24,1,1,0,0,0,-1,North
19,17,North,4,4,3,10,5,6,-25,0,1,1,0,0,-1,West
18,17,West,4,4,3,9,3,6,-26,0,0,1,1,0,-1,West
17,17,West,4,4,2,8,3,5,-27,0,0,1,1,0,-1,West
16,17,West,4,3,-1,7,3,4,172,0,0,1,1,0,-1,West
15,17,West,4,3,-1,5,4,4,171,1,0,1,1,0,-1,West
14,17,West,4,3,-1,4,5,2,170,0,1,1,1,0,-1,South
14,16,South,4,3,-1,4,4,2,169,1,1,1,0,0,-1,West
13,16,West,4,3,-1,4,5,1,168,1,1,0,1,0,-1,North
13,17,North,4,2,-1,2,6,-1,367,0,1,1,1,0,-1,West
12,17,West,4,2,-1,1,7,-1,366,1,0,1,1,0,-1,North
12,18,North,4,1,-1,-1,8,-1,565,1,1,0,0,0,-1,North
12,19,North,4,1,-1,-1,9,-1,564,1,1,0,0,0,-1,North
12,20,North,4,1,-1,-1,10,-1,563,0,1,1,0,0,-1,West
11,20,West,4,1,-1,-1,10,-1,562,0,0,1,1,0,-1,West
10,20,West,4,1,-1,-1,10,-1,561,0,0,1,1,0,-1,West
9,20,West,4,1,-1,-1,10,-1,560,1,0,0,1,0,-1,North
