@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute 'Pacman y' numeric
@attribute ' prev_direction' {Stop,East,South,West,North}
@attribute ' score' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
3,South,453,East
3,East,452,East
3,East,451,East
3,East,650,East
3,East,649,Stop
3,East,648,North
4,North,647,North
5,North,646,North
6,North,645,North
7,North,644,West
7,West,643,West
7,West,642,West
7,West,641,North
8,North,640,North
9,North,639,Stop
9,North,638,East
9,East,637,East
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,-9,East
11,East,-10,East
11,East,-11,East
11,East,-12,East
11,East,-13,East
11,East,-14,East
11,East,-15,East
11,East,-16,South
10,South,83,South
9,South,82,South
8,South,81,South
7,South,80,South
6,South,79,South
5,South,78,South
4,South,77,South
3,South,76,West
3,West,275,Stop
3,West,274,North
4,North,273,North
5,North,272,West
5,West,271,West
5,West,270,West
5,West,269,West
5,West,268,South
4,South,267,South
3,South,266,Stop
3,South,265,East
3,East,264,East
3,East,463,North
4,North,462,North
5,North,461,Stop
5,North,460,Stop
5,North,459,West
5,West,458,West
5,West,457,North
6,North,456,North
7,North,455,North
8,North,454,East
8,East,453,Stop
8,East,452,Stop
8,East,451,South
7,South,650,South
6,South,749,South
5,South,748,West
5,West,747,West
5,West,746,West
5,West,745,West
5,West,744,West
5,West,743,West
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,193,East
11,East,392,East
11,East,391,East
11,East,390,East
11,East,389,East
11,East,388,South
10,South,387,South
9,South,386,South
8,South,385,South
7,South,384,South
6,South,483,South
5,South,482,East
5,East,481,East
5,East,480,East
5,East,479,East
5,East,478,East
5,East,477,East
5,East,476,East
5,East,475,East
5,East,474,Stop
5,East,473,West
5,West,472,West
5,West,471,West
5,West,470,West
5,West,469,North
6,North,468,North
7,North,467,North
8,North,666,West
8,West,665,West
8,West,664,Stop
8,West,663,Stop
8,West,662,South
7,South,661,Stop
7,South,660,North
8,North,659,North
9,North,658,Stop
9,North,657,West
9,West,656,West
9,West,655,South
8,South,654,South
7,South,653,South
6,South,652,South
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,193,East
11,East,392,East
11,East,391,East
11,East,390,East
11,East,389,East
11,East,388,East
11,East,387,East
11,East,386,East
11,East,385,East
11,East,384,South
10,South,483,South
9,South,482,South
8,South,481,South
7,South,480,South
6,South,479,South
5,South,478,West
5,West,477,West
5,West,476,West
5,West,475,West
5,West,474,West
5,West,473,West
5,West,472,South
4,South,671,South
3,South,670,Stop
3,South,669,Stop
3,South,668,East
3,East,667,East
3,East,666,East
3,East,665,North
