@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R4,6-9,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-9-weka.filters.unsupervised.attribute.AddExpression-Ea6+a7-Nnorth-south-weka.filters.unsupervised.attribute.AddExpression-Ea8+a9-Neast-west-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,12,13,11-weka.filters.unsupervised.attribute.NumericToNominal-R6-9-weka.filters.unsupervised.attribute.NumericToNominal-R11-12'

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute LivingGhost numeric
@attribute PrevScore numeric
@attribute North=1 {0,1}
@attribute South=1 {0,1}
@attribute West=1 {0,1}
@attribute East=1 {0,1}
@attribute FoodNum numeric
@attribute north-south {0,1,2}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
7,4,West,1,566,1,1,1,1,0,2,2,West
7,4,West,1,566,1,1,1,1,0,2,2,West
8,1,West,4,94,0,0,1,1,113,0,2,West
7,1,West,4,193,0,0,1,1,112,0,2,West
6,1,West,4,292,1,0,0,1,111,1,1,North
6,2,North,4,391,1,1,0,0,110,2,0,North
6,3,North,4,490,1,1,1,1,109,2,2,North
6,4,North,4,589,1,1,1,0,108,2,1,North
6,5,North,4,688,1,1,1,0,107,2,1,North
6,6,North,4,787,1,1,1,0,106,2,1,North
6,7,North,3,1086,1,1,1,1,105,2,2,North
6,8,North,3,1185,1,1,0,0,104,2,0,North
6,9,North,3,1284,1,1,1,1,103,2,2,East
7,9,East,3,1378,0,0,1,0,102,0,1,West
6,9,West,3,1377,1,1,1,1,102,2,2,North
6,10,North,3,1476,1,1,0,0,101,2,0,North
6,11,North,3,1575,0,1,0,1,100,1,1,East
7,11,East,3,1674,0,0,1,1,99,0,2,East
8,11,East,3,1773,0,0,1,1,98,0,2,East
9,11,East,3,1872,0,1,1,1,97,1,2,East
10,11,East,3,1971,0,1,1,1,96,1,2,South
10,10,South,2,2270,1,1,1,0,95,2,1,South
10,9,South,2,2369,1,1,1,0,94,2,1,South
10,8,South,2,2368,1,1,1,0,94,2,1,West
9,8,West,2,2366,1,1,0,1,94,2,1,North
9,9,North,2,2465,1,1,0,1,93,2,1,North
9,10,North,2,2564,1,1,0,1,92,2,1,North
9,11,North,1,2762,0,1,1,1,92,1,2,West
8,11,West,1,2761,0,0,1,1,92,0,2,West
7,11,West,1,2760,0,0,1,1,92,0,2,West
6,11,West,1,2759,0,1,0,1,92,1,1,South
6,10,South,1,2758,1,1,0,0,92,2,0,South
6,9,South,1,2757,1,1,1,1,92,2,2,South
6,8,South,1,2756,1,1,0,0,92,2,0,South
6,7,South,1,2755,1,1,1,1,92,2,2,South
6,6,South,1,2754,1,1,1,0,92,2,1,South
6,5,South,1,2953,1,1,1,0,92,2,1,South
6,4,South,1,2952,1,1,1,0,92,2,1,South
6,3,South,1,2951,1,1,1,1,92,2,2,South
6,2,South,1,2950,1,1,0,0,92,2,0,South
6,1,South,1,2949,1,0,0,1,92,1,1,East
7,1,East,1,3148,0,0,1,1,92,0,2,East
8,1,East,1,3147,0,0,1,1,92,0,2,East
8,1,East,1,3147,0,0,1,1,92,0,2,East
8,1,West,4,94,0,0,1,1,113,0,2,West
7,1,West,4,193,0,0,1,1,112,0,2,West
6,1,West,4,291,1,0,0,1,111,1,1,North
6,2,North,4,390,1,1,0,0,110,2,0,North
6,3,North,4,489,1,1,1,1,109,2,2,North
6,4,North,4,588,1,1,1,0,108,2,1,West
5,4,West,3,887,1,1,1,1,107,2,2,West
4,4,West,3,986,1,1,1,1,106,2,2,West
3,4,West,3,1084,1,1,0,1,105,2,1,South
3,3,South,3,1182,1,0,0,1,104,1,1,East
4,3,East,3,1281,1,1,1,1,103,2,2,South
4,2,South,3,1380,1,1,0,0,102,2,0,South
4,1,South,3,1479,1,0,1,0,101,1,1,West
3,1,West,3,1578,0,0,1,1,100,0,2,West
2,1,West,3,1677,0,0,1,1,99,0,2,West
1,1,West,3,1876,1,0,0,1,99,1,1,East
2,1,East,3,1875,0,0,1,1,99,0,2,East
3,1,East,3,2074,0,0,1,1,99,0,2,East
4,1,East,3,2269,1,0,1,0,99,1,1,North
4,2,North,3,2268,1,1,0,0,99,2,0,North
4,3,North,3,2267,1,1,1,1,99,2,2,North
4,4,North,2,2466,1,1,1,1,99,2,2,West
3,4,West,2,2463,1,1,0,1,99,2,1,North
3,5,North,2,2562,1,1,0,1,98,2,1,North
3,6,North,2,2661,1,1,0,1,97,2,1,East
4,6,East,2,2760,1,1,1,1,96,2,2,East
5,6,East,2,2859,1,1,1,1,95,2,2,East
6,6,East,2,2958,1,1,1,0,94,2,1,North
6,7,North,2,3057,1,1,1,1,93,2,2,North
6,8,North,2,3156,1,1,0,0,92,2,0,North
6,9,North,2,3255,1,1,1,1,91,2,2,East
7,9,East,2,3350,0,0,1,0,90,0,1,West
